Time [s],Channel 3
57.059278562,2.556
57.060078562,2.556
57.060878562,2.556
57.061678562,2.556
57.062478562,2.556
57.063278562,2.556
57.064078562,2.562
57.064878562,2.556
57.065678562,2.551
57.066478562,2.556
57.067278562,2.551
57.068078562,2.556
57.068878562,2.556
57.069678562,2.556
57.070478562,2.556
57.071278562,2.556
57.072078562,2.556
57.072878562,2.556
57.073678562,2.556
57.074478562,2.556
57.075278562,2.562
57.076078562,2.556
57.076878562,2.556
57.077678562,2.556
57.078478562,2.556
57.079278562,2.556
57.080078562,2.556
57.080878562,2.556
57.081678562,2.556
57.082478562,2.556
57.083278562,2.556
57.084078562,2.556
57.084878562,2.556
57.085678562,2.556
57.086478562,2.562
57.087278562,2.562
57.088078562,2.556
57.088878562,2.556
57.089678562,2.556
57.090478562,2.562
57.091278562,2.556
57.092078562,2.556
57.092878562,2.556
57.093678562,2.556
57.094478562,2.556
57.095278562,2.562
57.096078562,2.556
57.096878562,2.562
57.097678562,2.556
57.098478562,2.556
57.099278562,2.556
57.100078562,2.556
57.100878562,2.556
57.101678562,2.556
57.102478562,2.556
57.103278562,2.556
57.104078562,2.556
57.104878562,2.556
57.105678562,2.551
57.106478562,2.556
57.107278562,2.556
57.108078562,2.551
57.108878562,2.556
57.109678562,2.562
57.110478562,2.556
57.111278562,2.562
57.112078562,2.556
57.112878562,2.556
57.113678562,2.562
57.114478562,2.556
57.115278562,2.556
57.116078562,2.556
57.116878562,2.562
57.117678562,2.556
57.118478562,2.556
57.119278562,2.556
57.120078562,2.556
57.120878562,2.556
57.121678562,2.556
57.122478562,2.562
57.123278562,2.556
57.124078562,2.556
57.124878562,2.546
57.125678562,2.556
57.126478562,2.551
57.127278562,2.556
57.128078562,2.556
57.128878562,2.551
57.129678562,2.556
57.130478562,2.556
57.131278562,2.556
57.132078562,2.556
57.132878562,2.556
57.133678562,2.556
57.134478562,2.556
57.135278562,2.556
57.136078562,2.556
57.136878562,2.556
57.137678562,2.556
57.138478562,2.556
57.139278562,2.556
57.140078562,2.556
57.140878562,2.556
57.141678562,2.562
57.142478562,2.556
57.143278562,2.562
57.144078562,2.562
57.144878562,2.556
57.145678562,2.556
57.146478562,2.556
57.147278562,2.556
57.148078562,2.556
57.148878562,2.556
57.149678562,2.556
57.150478562,2.556
57.151278562,2.562
57.152078562,2.562
57.152878562,2.556
57.153678562,2.556
57.154478562,2.556
57.155278562,2.562
57.156078562,2.551
57.156878562,2.556
57.157678562,2.556
57.158478562,2.562
57.159278562,2.562
57.160078562,2.556
57.160878562,2.556
57.161678562,2.562
57.162478562,2.562
57.163278562,2.556
57.164078562,2.562
57.164878562,2.556
57.165678562,2.562
57.166478562,2.556
57.167278562,2.562
57.168078562,2.556
57.168878562,2.556
57.169678562,2.556
57.170478562,2.556
57.171278562,2.556
57.172078562,2.556
57.172878562,2.556
57.173678562,2.562
57.174478562,2.556
57.175278562,2.556
57.176078562,2.556
57.176878562,2.556
57.177678562,2.556
57.178478562,2.556
57.179278562,2.556
57.180078562,2.556
57.180878562,2.562
57.181678562,2.562
57.182478562,2.556
57.183278562,2.562
57.184078562,2.562
57.184878562,2.562
57.185678562,2.556
57.186478562,2.562
57.187278562,2.556
57.188078562,2.556
57.188878562,2.562
57.189678562,2.556
57.190478562,2.556
57.191278562,2.556
57.192078562,2.556
57.192878562,2.562
57.193678562,2.562
57.194478562,2.562
57.195278562,2.556
57.196078562,2.556
57.196878562,2.562
57.197678562,2.556
57.198478562,2.556
57.199278562,2.562
57.200078562,2.556
57.200878562,2.556
57.201678562,2.556
57.202478562,2.562
57.203278562,2.556
57.204078562,2.556
57.204878562,2.562
57.205678562,2.556
57.206478562,2.556
57.207278562,2.556
57.208078562,2.556
57.208878562,2.556
57.209678562,2.562
57.210478562,2.562
57.211278562,2.556
57.212078562,2.562
57.212878562,2.556
57.213678562,2.556
57.214478562,2.562
57.215278562,2.562
57.216078562,2.556
57.216878562,2.556
57.217678562,2.556
57.218478562,2.556
57.219278562,2.556
57.220078562,2.556
57.220878562,2.562
57.221678562,2.562
57.222478562,2.562
57.223278562,2.556
57.224078562,2.556
57.224878562,2.556
57.225678562,2.556
57.226478562,2.556
57.227278562,2.562
57.228078562,2.562
57.228878562,2.556
57.229678562,2.556
57.230478562,2.562
57.231278562,2.556
